0.02:  34.42233,31.67462,184.8998,
ParticipantNo: 221
ParticipantGen: 0
Date: 10/30/17
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_04
2.25:  127.5788,209.7993,269.2,box 6,10
2.27:  127.273,209.7951,269.2,box 6,10
2.28:  126.9682,209.7908,269.2,box 6,10
2.3:  126.6717,209.7867,269.2,box 6,10
2.32:  126.3642,209.7824,269.2,box 6,10
2.33:  126.0785,209.7784,269.2,box 6,10
2.35:  125.7646,209.774,269.2,box 6,10
2.37:  125.4669,209.7699,269.2,box 6,10
2.38:  125.1661,209.7657,269.2,box 5,10
2.4:  124.8721,209.7616,269.2,box 5,10
2.42:  124.5616,209.7572,269.2,box 5,10
2.43:  124.2762,209.7532,269.2,box 5,10
2.45:  123.9622,209.7489,269.2,box 5,10
2.47:  123.674,209.7448,269.2,box 5,10
2.48:  123.3661,209.7405,269.2,box 5,10
2.5:  123.0727,209.7364,269.2,box 5,10
2.52:  122.7686,209.7322,269.2,box 5,10
2.53:  122.4745,209.7281,269.2,box 5,10
2.55:  122.166,209.7238,269.2,box 5,10
2.57:  121.8759,209.7197,269.2,box 5,10
2.58:  121.5607,209.7153,269.2,box 5,10
2.6:  121.2908,209.7111,269.1,box 5,10
2.62:  120.9754,209.705,268.9,box 5,10
2.63:  120.6909,209.6996,268.9,box 5,10
2.65:  120.3797,209.693,268.8,box 5,10
2.67:  120.067,209.6859,268.7,box 5,10
2.68:  119.7647,209.678,268.5,box 5,10
2.7:  119.4674,209.6702,268.5,box 5,10
2.72:  119.1655,209.6618,268.4,box 5,10
2.73:  118.8417,209.6522,268.3,box 5,10
2.75:  118.5697,209.6441,268.3,box 5,10
2.77:  118.2768,209.6354,268.3,box 5,10
2.78:  117.9623,209.625,268.1,box 5,10
2.8:  117.6725,209.6154,268.1,box 5,10
2.82:  117.3644,209.6041,267.9,box 5,10
2.83:  117.0484,209.5919,267.8,box 5,10
2.85:  116.7583,209.5798,267.6,box 5,10
2.87:  116.4615,209.5663,267.4,box 5,10
2.88:  116.17,209.5526,267.3,box 5,10
2.9:  115.8754,209.5382,267.2,box 5,10
2.92:  115.5678,209.5226,267.1,box 5,10
2.93:  115.2675,209.5063,266.9,box 5,10
2.95:  114.9708,209.4892,266.7,box 5,10
2.97:  114.6715,209.4704,266.4,box 5,10
2.98:  114.3738,209.4511,266.3,box 5,10
3:  114.0678,209.4297,266,box 5,10
3.02:  113.7742,209.4082,265.8,box 5,10
3.03:  113.4753,209.3846,265.5,box 5,10
3.05:  113.1824,209.3606,265.3,box 5,10
3.06:  112.9003,209.3359,265,box 5,10
3.08:  112.5867,209.3051,264.4,box 5,10
3.1:  112.3014,209.2741,263.8,box 5,10
3.11:  112.003,209.2396,263.4,box 5,10
3.13:  111.7039,209.2024,262.9,box 5,10
3.15:  111.403,209.1633,262.6,box 5,10
3.17:  111.0859,209.121,262.4,box 5,10
3.18:  110.7954,209.0807,262.1,box 5,10
3.2:  110.4936,209.0377,261.9,box 5,10
3.22:  110.1992,208.9937,261.5,box 5,10
3.23:  109.9288,208.9509,261,box 5,10
3.25:  109.6313,208.9006,260.4,box 5,10
3.26:  109.3316,208.8466,259.8,box 5,10
3.28:  109.036,208.7876,258.7,box 5,10
3.3:  108.7242,208.7207,257.9,box 5,10
3.32:  108.4279,208.6529,257.1,box 5,10
3.33:  108.137,208.5814,256.2,box 5,10
3.35:  107.8587,208.5094,255.5,box 5,10
