0.02:  34.95837,31.76244,189.7999,
ParticipantNo: 218a
ParticipantGen: 0
Date: 10/25/17
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_13
0.02:  33.18,31.3,268.5,
0.03:  33.18,31.3,268.5,box 1,1
0.05:  33.18,31.3,268.5,box 1,1
0.07:  33.18,31.3,268.5,box 1,1
0.08:  33.18,31.3,268.5,box 1,1
0.1:  33.18,31.3,268.5,box 1,1
0.12:  33.18,31.3,268.5,box 1,1
0.13:  33.18,31.3,268.5,box 1,1
0.15:  33.18,31.3,268.5,box 1,1
0.17:  33.18,31.3,268.5,box 1,1
0.18:  33.18,31.3,268.5,box 1,1
0.2:  33.18,31.3,268.5,box 1,1
0.22:  33.18,31.3,268.5,box 1,1
0.23:  33.18,31.3,268.5,box 1,1
0.25:  33.18,31.3,268.5,box 1,1
0.27:  33.18,31.3,268.5,box 1,1
0.28:  33.18,31.3,268.5,box 1,1
0.3:  33.18,31.3,268.5,box 1,1
0.32:  33.18,31.3,268.5,box 1,1
0.33:  33.18,31.3,268.5,box 1,1
0.35:  33.18,31.3,268.5,box 1,1
0.37:  33.18,31.3,268.5,box 1,1
0.38:  33.18,31.3,268.5,box 1,1
0.4:  33.18,31.3,268.5,box 1,1
0.42:  33.18,31.3,268.5,box 1,1
0.43:  33.18,31.3,268.5,box 1,1
0.45:  33.18,31.3,268.5,box 1,1
0.47:  33.18,31.3,268.5,box 1,1
0.48:  33.18,31.3,268.5,box 1,1
0.5:  33.18,31.3,268.5,box 1,1
0.52:  33.18,31.3,268.5,box 1,1
0.53:  33.18,31.3,268.5,box 1,1
0.55:  33.18,31.3,268.5,box 1,1
0.57:  33.18,31.3,268.5,box 1,1
0.58:  33.18,31.3,268.5,box 1,1
0.6:  33.18,31.3,268.5,box 1,1
0.62:  33.18,31.3,268.5,box 1,1
0.63:  33.18,31.3,268.5,box 1,1
0.65:  33.18,31.3,268.5,box 1,1
0.67:  33.18,31.3,268.5,box 1,1
0.68:  33.18,31.3,268.5,box 1,1
0.7:  33.18,31.3,268.5,box 1,1
0.72:  33.18,31.3,268.5,box 1,1
0.73:  33.18,31.3,268.5,box 1,1
0.75:  33.18,31.3,270,box 1,1
0.77:  33.18,31.3,277.7,box 1,1
0.78:  33.18,31.3,299.6,box 1,1
0.8:  33.18,31.3,313.7,box 1,1
0.82:  33.18,31.3,325.5,box 1,1
0.83:  33.18,31.3,335.4,box 1,1
0.85:  33.18,31.3,344.2,box 1,1
0.87:  33.18,31.3,351.8,box 1,1
0.88:  33.18,31.3,357,box 1,1
0.9:  33.18,31.3,0.3999772,box 1,1
