0.02:  193.6079,171.7357,91.9,
ParticipantNo: 216a
ParticipantGen: 0
Date: 10/23/17
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_23
2.43:  131.5,152.1,5.400008,box 3,4
2.45:  131.5,152.1,5.400008,box 3,4
2.46:  131.5,152.1,5.400008,box 3,4
2.48:  131.5,152.1,5.400008,box 3,4
2.5:  131.5,152.1,5.400008,box 3,4
2.51:  131.5,152.1,5.400008,box 3,4
2.53:  131.5,152.1,5.400008,box 3,4
2.55:  131.5,152.1,5.600008,box 3,4
2.56:  131.5,152.1,7.600009,box 3,4
2.58:  131.5,152.1,10.50001,box 3,4
2.6:  131.5,152.1,14.70001,box 3,4
2.61:  131.5,152.1,19.60001,box 3,4
2.63:  131.5,152.1,23.60001,box 3,4
2.65:  131.5,152.1,26.30001,box 3,4
2.66:  131.5,152.1,27.30001,box 3,4
2.68:  131.5,152.1,27.30001,box 3,4
2.7:  131.5,152.1,27.30001,box 3,4
2.71:  131.5,152.1,26.70001,box 3,4
2.73:  131.5,152.1,26.20001,box 3,4
2.75:  131.5,152.1,26.00001,box 3,4
2.76:  131.5,152.1,25.90001,box 3,4
2.78:  131.5,152.1,25.80001,box 3,4
2.8:  131.5,152.1,25.70001,box 3,4
2.81:  131.5,152.1,25.60001,box 3,4
2.83:  131.5,152.1,25.50001,box 3,4
2.85:  131.5,152.1,25.40001,box 3,4
2.86:  131.5,152.1,25.20001,box 3,4
2.88:  131.5,152.1,25.20001,box 3,4
2.9:  131.5,152.1,25.30001,box 3,4
2.91:  131.5,152.1,25.40001,box 3,4
2.93:  131.5,152.1,25.40001,box 3,4
2.95:  131.5,152.1,25.40001,box 3,4
2.96:  131.5,152.1,25.40001,box 3,4
2.98:  131.5,152.1,25.40001,box 3,4
3:  131.5,152.1,25.40001,box 3,4
3.01:  131.5,152.1,25.40001,box 3,4
3.03:  131.5,152.1,25.40001,box 3,4
3.05:  131.5,152.1,25.40001,box 3,4
3.06:  131.5066,152.1139,25.40001,box 3,4
3.08:  131.5192,152.1405,25.40001,box 3,4
3.1:  131.5368,152.1775,25.40001,box 3,4
3.11:  131.5622,152.2309,25.40001,box 3,4
3.13:  131.5941,152.2982,25.40001,box 3,4
3.15:  131.6328,152.3796,25.40001,box 3,4
3.16:  131.6788,152.4765,25.40001,box 3,4
3.18:  131.7316,152.5878,25.40001,box 3,4
3.2:  131.7893,152.7092,25.40001,box 3,4
3.21:  131.8534,152.8442,25.40001,box 3,4
3.23:  131.9243,152.9935,25.40001,box 3,4
3.25:  132.0019,153.1571,25.40001,box 3,4
3.26:  132.0846,153.3313,25.40001,box 3,4
3.28:  132.1778,153.5274,25.40001,box 3,4
3.3:  132.2731,153.7283,25.40001,box 3,4
3.31:  132.3739,153.9405,25.40001,box 3,4
3.33:  132.4829,154.17,25.40001,box 3,4
3.35:  132.5994,154.4153,25.40001,box 3,4
3.36:  132.7212,154.6719,25.40001,box 3,4
3.38:  132.8504,154.9439,25.40001,box 3,4
3.4:  132.978,155.2126,25.40001,box 3,4
3.41:  133.1083,155.487,25.40001,box 3,4
3.43:  133.2368,155.7576,25.40001,box 3,4
3.45:  133.3647,156.0272,25.40001,box 3,4
3.46:  133.4933,156.2978,25.40001,box 3,4
3.48:  133.6219,156.5688,25.40001,box 3,4
3.5:  133.7513,156.8413,25.40001,box 3,4
3.51:  133.8804,157.113,25.40001,box 3,4
3.53:  133.9985,157.3618,25.40001,box 3,4
3.55:  134.1303,157.6393,25.40001,box 3,4
3.56:  134.2612,157.9151,25.40001,box 3,4
3.58:  134.3918,158.1902,25.40001,box 3,4
3.6:  134.5262,158.4731,25.40001,box 3,4
3.61:  134.6509,158.7357,25.40001,box 3,4
3.63:  134.7831,159.0143,25.40001,box 3,4
3.65:  134.9112,159.2827,25.50001,box 3,4
3.66:  135.0414,159.5558,25.50001,box 3,4
3.68:  135.1732,159.8308,25.60001,box 3,4
3.7:  135.3036,160.1043,25.50001,box 3,4
3.71:  135.4302,160.3661,25.80001,box 3,4
3.73:  135.572,160.6457,26.90001,box 3,4
3.75:  135.7044,160.9011,27.40001,box 3,4
3.76:  135.8439,161.1646,27.90001,box 2,4
3.78:  135.9884,161.4318,28.40001,box 2,4
3.8:  136.131,161.6921,28.70001,box 2,4
3.81:  136.2769,161.9577,28.80001,box 2,4
3.83:  136.4205,162.2188,28.80001,box 2,4
3.85:  136.5606,162.4737,28.80001,box 2,4
3.86:  136.7104,162.7461,28.80001,box 2,4
3.88:  136.8518,163.0034,28.80001,box 2,4
3.9:  136.9988,163.2707,28.80001,box 2,4
3.91:  137.1415,163.5303,28.80001,box 2,4
3.93:  137.2883,163.7973,28.80001,box 2,4
3.95:  137.4304,164.0558,28.80001,box 2,4
3.96:  137.5805,164.3277,28.90001,box 2,4
3.98:  137.7236,164.5837,29.20001,box 2,4
4:  137.8698,164.8391,29.80001,box 2,4
4.01:  138.0279,165.096,31.60001,box 2,4
4.03:  138.1979,165.3461,34.20001,box 2,4
4.05:  138.3805,165.5825,37.70001,box 2,4
4.06:  138.5797,165.806,41.70001,box 2,4
4.08:  138.7924,166.0107,46.10001,box 2,4
4.1:  139.0141,166.1948,50.30001,box 2,4
4.11:  139.2557,166.3703,54.00001,box 2,4
4.13:  139.5122,166.5343,57.40002,box 2,4
4.15:  139.7696,166.6794,60.60001,box 2,4
4.16:  140.0472,166.8118,64.50002,box 2,4
4.18:  140.3174,166.9259,67.10002,box 2,4
4.2:  140.604,167.0319,69.70002,box 2,4
4.21:  140.9035,167.1281,72.20002,box 2,4
4.23:  141.1977,167.2091,74.60001,box 2,4
4.25:  141.4901,167.2793,76.50002,box 2,4
4.26:  141.7785,167.3396,78.20002,box 2,4
4.28:  142.0724,167.3935,79.60001,box 2,4
4.3:  142.3679,167.4403,81.00002,box 2,4
4.31:  142.6658,167.4816,82.10001,box 2,3
4.33:  142.9765,167.5198,83.00001,box 2,3
4.35:  143.26,167.5546,83.00001,box 2,3
4.36:  143.56,167.5914,83.00001,box 2,3
4.38:  143.8712,167.6302,82.90001,box 2,3
4.4:  144.1525,167.6667,82.60001,box 2,3
4.41:  144.4478,167.7067,82.30002,box 2,3
4.43:  144.7509,167.7487,82.10001,box 2,3
4.45:  145.0378,167.7901,81.80001,box 2,3
4.46:  145.3476,167.8347,81.80001,box 2,3
4.48:  145.6421,167.8771,81.80001,box 2,3
4.5:  145.9307,167.9187,81.80001,box 2,3
4.51:  146.2373,167.9629,81.80001,box 2,3
4.53:  146.52,168.0036,81.80001,box 2,3
4.55:  146.8238,168.0474,81.80001,box 2,3
4.56:  147.1201,168.0901,81.80001,box 2,3
4.58:  147.4078,168.1316,81.80001,box 2,3
4.6:  147.693,168.1727,81.80001,box 2,3
4.61:  148,168.2169,81.80001,box 2,3
4.63:  148.2895,168.2586,81.80001,box 2,3
4.65:  148.5939,168.3025,81.80001,box 2,3
4.66:  148.8927,168.3456,81.80001,box 2,3
4.68:  149.2064,168.3908,81.80001,box 2,3
4.7:  149.4939,168.4322,81.80001,box 2,3
4.71:  149.7973,168.4759,81.80001,box 2,3
4.73:  150.0916,168.5183,81.80001,box 2,3
4.75:  150.3965,168.5623,81.80001,box 2,3
4.76:  150.6838,168.6037,81.80001,box 2,3
4.78:  150.9942,168.6484,81.80001,box 2,3
4.8:  151.2778,168.6893,81.80001,box 2,3
4.81:  151.5857,168.7336,81.80001,box 2,3
4.83:  151.8723,168.7749,81.80001,box 2,3
4.85:  152.1816,168.8195,81.80001,box 2,3
4.86:  152.4635,168.8601,81.80001,box 2,3
4.88:  152.7702,168.9043,81.80001,box 2,3
4.9:  153.0407,168.9433,81.80001,box 2,3
4.91:  153.3374,168.9861,81.80001,box 2,3
4.93:  153.6401,169.0297,81.80001,box 2,3
4.95:  153.9514,169.0745,81.80001,box 2,3
4.96:  154.2598,169.119,81.80001,box 2,3
4.98:  154.5498,169.1608,81.80001,box 2,3
5:  154.8441,169.2032,81.80001,box 2,3
5.01:  155.1422,169.2461,81.80001,box 2,3
5.03:  155.435,169.2883,81.80001,box 2,3
5.05:  155.735,169.3326,81.60002,box 2,3
5.06:  156.0303,169.3762,81.60002,box 2,3
5.08:  156.3591,169.4248,81.60002,box 2,3
5.1:  156.603,169.4608,81.60002,box 2,3
5.11:  156.9065,169.5056,81.60002,box 2,3
5.13:  157.1946,169.5482,81.60002,box 2,3
5.15:  157.5013,169.5934,81.60002,box 2,3
5.16:  157.7894,169.636,81.60002,box 2,3
5.18:  158.0916,169.6806,81.60002,box 2,3
5.2:  158.3931,169.7251,81.60002,box 2,3
5.21:  158.7106,169.772,81.60002,box 2,3
5.23:  158.9944,169.8139,81.60002,box 2,3
5.25:  159.2965,169.8585,81.60002,box 2,3
5.26:  159.5899,169.9019,81.60002,box 2,3
5.28:  159.8907,169.9463,81.60002,box 2,3
5.3:  160.1804,169.9891,81.60002,box 2,3
5.31:  160.4848,170.034,81.60002,box 2,3
5.33:  160.7734,170.0766,81.60002,box 2,3
5.35:  161.0819,170.1222,81.60002,box 2,3
5.36:  161.3678,170.1644,81.60002,box 2,3
5.38:  161.6705,170.2091,81.60002,box 2,3
5.4:  161.9658,170.2516,81.80001,box 2,3
5.41:  162.268,170.2941,82.00002,box 2,3
5.43:  162.562,170.3344,82.20002,box 2,3
5.45:  162.8658,170.3749,82.40002,box 2,2
5.46:  163.1565,170.4137,82.40002,box 2,2
5.48:  163.4586,170.4535,82.50002,box 2,2
5.5:  163.7546,170.4919,82.60003,box 2,2
5.51:  164.0503,170.5298,82.70003,box 2,2
5.53:  164.323,170.5643,82.80003,box 2,2
5.55:  164.6282,170.6017,83.00003,box 2,2
5.56:  164.9228,170.6369,83.20003,box 2,2
5.58:  165.2199,170.6718,83.30003,box 2,2
5.6:  165.515,170.7054,83.50003,box 2,2
5.61:  165.8192,170.7401,83.50003,box 2,2
5.63:  166.108,170.7729,83.50003,box 2,2
5.65:  166.4163,170.807,83.70004,box 2,2
5.66:  166.7104,170.8395,83.70004,box 2,2
5.68:  167.0113,170.8721,83.80003,box 2,2
5.7:  167.3064,170.9037,83.90004,box 2,2
5.71:  167.6063,170.9357,83.90004,box 2,2
5.73:  167.9,170.9671,83.90004,box 2,2
5.75:  168.2052,170.9992,84.00004,box 2,2
5.76:  168.5044,171.0296,84.20004,box 2,2
5.78:  168.8119,171.0603,84.30004,box 2,2
5.8:  169.1189,171.0904,84.40004,box 2,2
5.81:  169.4166,171.119,84.50004,box 2,2
5.83:  169.7213,171.1473,84.70004,box 2,2
5.85:  170.018,171.1738,84.90004,box 2,2
5.86:  170.3132,171.1996,85.00004,box 2,2
5.88:  170.6154,171.2255,85.10004,box 2,2
5.9:  170.9091,171.2497,85.30003,box 2,2
5.91:  171.2136,171.2736,85.50004,box 2,2
