0.02:  35.89173,31.78,175.6999,
ParticipantNo: 222a
ParticipantGen: 1
Date: 10/30/17
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_18
0.02:  191.8,52.7,91.29999,
0.03:  191.8,52.7,91.29999,box 9,2
0.05:  191.8,52.7,91.29999,box 9,2
0.07:  191.8,52.7,91.29999,box 9,2
0.08:  191.8,52.7,91.29999,box 9,2
0.1:  191.8,52.7,91.29999,box 9,2
0.12:  191.8,52.7,91.29999,box 9,2
0.13:  191.8,52.7,91.29999,box 9,2
0.15:  191.8,52.7,91.29999,box 9,2
0.17:  191.8,52.7,91.29999,box 9,2
0.18:  191.8,52.7,91.29999,box 9,2
0.2:  191.8,52.7,91.29999,box 9,2
0.22:  191.8,52.7,91.29999,box 9,2
0.24:  191.8,52.7,91.29999,box 9,2
0.25:  191.8,52.7,91.29999,box 9,2
0.27:  191.8,52.7,91.29999,box 9,2
0.28:  191.8,52.7,91.29999,box 9,2
0.3:  191.8,52.7,91.29999,box 9,2
0.32:  191.8,52.7,91.29999,box 9,2
0.33:  191.8,52.7,91.29999,box 9,2
0.35:  191.8,52.7,91.29999,box 9,2
0.37:  191.8,52.7,91.29999,box 9,2
0.38:  191.8,52.7,91.29999,box 9,2
0.4:  191.8,52.7,91.29999,box 9,2
0.42:  191.8,52.7,91.29999,box 9,2
0.43:  191.8,52.7,91.29999,box 9,2
0.45:  191.8,52.7,91.29999,box 9,2
0.47:  191.8,52.7,91.29999,box 9,2
0.48:  191.8,52.7,91.29999,box 9,2
0.5:  191.8,52.7,91.29999,box 9,2
0.52:  191.8,52.7,91.29999,box 9,2
0.53:  191.8,52.7,91.29999,box 9,2
0.55:  191.8,52.7,91.29999,box 9,2
0.57:  191.8,52.7,91.29999,box 9,2
0.58:  191.8,52.7,91.29999,box 9,2
0.6:  191.8,52.7,91.29999,box 9,2
0.62:  191.8,52.7,91.29999,box 9,2
0.63:  191.8,52.7,91.29999,box 9,2
0.65:  191.8,52.7,91.29999,box 9,2
0.67:  191.8,52.7,91.29999,box 9,2
0.68:  191.8,52.7,91.29999,box 9,2
0.7:  191.8,52.7,91.29999,box 9,2
0.72:  191.8,52.7,91.29999,box 9,2
0.73:  191.8,52.7,91.29999,box 9,2
0.75:  191.8,52.7,91.29999,box 9,2
0.77:  191.8,52.7,91.29999,box 9,2
0.78:  191.8,52.7,91.29999,box 9,2
0.8:  191.8,52.7,91.29999,box 9,2
0.82:  191.8,52.7,91.29999,box 9,2
0.83:  191.8,52.7,91.29999,box 9,2
0.85:  191.8,52.7,91.29999,box 9,2
0.87:  191.8,52.7,91.29999,box 9,2
0.88:  191.8,52.7,91.29999,box 9,2
0.9:  191.8,52.7,91.29999,box 9,2
0.92:  191.8,52.7,91.29999,box 9,2
0.93:  191.8,52.7,91.09998,box 9,2
0.95:  191.8,52.7,91.19999,box 9,2
0.97:  191.8,52.7,91.39999,box 9,2
0.98:  191.8,52.7,90.99999,box 9,2
1:  191.8,52.7,90.79999,box 9,2
1.02:  191.8,52.7,90.79999,box 9,2
1.03:  191.8,52.7,90.79999,box 9,2
1.05:  191.8,52.7,90.79999,box 9,2
1.07:  191.8,52.7,90.79999,box 9,2
1.08:  191.8,52.7,90.79999,box 9,2
1.1:  191.8,52.7,90.79999,box 9,2
1.12:  191.8,52.7,90.79999,box 9,2
1.13:  191.8,52.7,90.79999,box 9,2
1.15:  191.8,52.7,90.79999,box 9,2
1.17:  191.8,52.7,90.79999,box 9,2
1.18:  191.8,52.7,90.79999,box 9,2
1.2:  191.8,52.7,90.79999,box 9,2
1.22:  191.8,52.7,90.79999,box 9,2
1.23:  191.8,52.7,90.79999,box 9,2
1.25:  191.8,52.7,90.79999,box 9,2
1.27:  191.8,52.7,90.79999,box 9,2
1.28:  191.8,52.7,90.79999,box 9,2
1.3:  191.8,52.7,90.79999,box 9,2
1.32:  191.8,52.7,90.79999,box 9,2
1.33:  191.8,52.7,90.79999,box 9,2
1.35:  191.8,52.7,90.79999,box 9,2
1.37:  191.8,52.7,90.79999,box 9,2
1.38:  191.8,52.7,90.79999,box 9,2
1.4:  191.8,52.7,90.79999,box 9,2
1.42:  191.8,52.7,90.79999,box 9,2
1.43:  191.8,52.7,90.79999,box 9,2
1.45:  191.8,52.7,90.79999,box 9,2
1.47:  191.8,52.7,90.79999,box 9,2
1.48:  191.8,52.7,90.79999,box 9,2
1.5:  191.8,52.7,90.79999,box 9,2
1.52:  191.8,52.7,90.79999,box 9,2
1.53:  191.8,52.7,90.79999,box 9,2
