0.02:  36.33662,31.57453,187.8998,
ParticipantNo: 230b
ParticipantGen: 1
Date: 11/6/2017
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_10
2.2:  49.17727,89.88703,84.19997,box 2,4
2.22:  49.46898,89.91666,84.19997,box 2,4
2.23:  49.77143,89.94739,84.19997,box 2,4
2.25:  50.06692,89.9774,84.19997,box 2,4
2.27:  50.36339,90.00751,84.19997,box 2,4
2.28:  50.66615,90.0388,84.09997,box 2,4
2.3:  50.9635,90.07058,83.89997,box 2,4
2.32:  51.26066,90.10339,83.69997,box 2,4
2.33:  51.56137,90.13712,83.59998,box 2,4
2.35:  51.85492,90.17004,83.59998,box 2,4
2.37:  52.15973,90.20423,83.59998,box 2,4
2.38:  52.45568,90.23795,83.49997,box 2,4
2.4:  52.74969,90.27197,83.39997,box 2,4
2.42:  53.04825,90.30598,83.49997,box 2,4
2.43:  53.34871,90.34022,83.49997,box 2,4
2.45:  53.64663,90.37416,83.49997,box 2,4
2.47:  53.95091,90.40937,83.39996,box 2,4
2.48:  54.24814,90.4464,82.89996,box 2,4
2.5:  54.54544,90.48659,82.29997,box 2,4
2.52:  54.84076,90.52862,81.89996,box 2,4
2.53:  55.1344,90.57041,81.89996,box 2,4
2.55:  55.42995,90.61247,81.89996,box 2,4
2.57:  55.72037,90.65381,81.89996,box 2,4
2.58:  56.01809,90.69618,81.89996,box 2,4
2.6:  56.31267,90.73758,81.99997,box 2,4
2.62:  56.60739,90.77795,82.19996,box 2,4
2.63:  56.90775,90.81857,82.29997,box 2,4
2.65:  57.20445,90.85762,82.49997,box 2,4
2.67:  57.50505,90.8956,82.79996,box 2,4
2.68:  57.80674,90.93211,83.09996,box 2,4
2.73:  58.55597,91.0188,83.39996,box 2,4
2.73:  58.63031,91.0274,83.39996,box 2,4
2.73:  58.71628,91.03735,83.39996,box 2,4
2.75:  59.00247,91.07046,83.39996,box 2,4
2.77:  59.2966,91.10449,83.39996,box 2,4
2.78:  59.55935,91.1349,83.39996,box 2,4
2.8:  59.89354,91.17356,83.39996,box 2,4
2.82:  60.19542,91.20849,83.39996,box 2,4
2.83:  60.49097,91.24268,83.39996,box 2,4
2.85:  60.7865,91.27688,83.39996,box 2,4
2.87:  61.0849,91.31141,83.39996,box 2,4
2.88:  61.38548,91.34618,83.39996,box 2,4
2.9:  61.68328,91.38064,83.39996,box 2,4
2.92:  61.98003,91.41498,83.39996,box 2,4
2.93:  62.27575,91.4492,83.39996,box 2,4
2.95:  62.58112,91.48453,83.39996,box 3,4
2.97:  62.87806,91.51888,83.39996,box 3,4
2.98:  63.17893,91.5537,83.39996,box 3,4
3:  63.47,91.58737,83.39996,box 3,4
3.02:  63.77338,91.62247,83.39996,box 3,4
3.03:  64.07426,91.65729,83.39996,box 3,4
3.05:  64.3622,91.69061,83.39996,box 3,4
3.07:  64.64568,91.7234,83.39996,box 3,4
3.08:  64.94748,91.75832,83.39996,box 3,4
3.1:  65.24249,91.79246,83.39996,box 3,4
3.12:  65.54459,91.82741,83.39996,box 3,4
3.13:  65.84204,91.86183,83.39996,box 3,4
3.15:  66.1506,91.89753,83.39996,box 3,4
3.17:  66.44409,91.93149,83.39996,box 3,4
3.18:  66.74252,91.96602,83.39996,box 3,4
3.2:  67.04053,92.0005,83.39996,box 3,4
3.22:  67.34053,92.03521,83.39996,box 3,4
3.23:  67.64119,92.06947,83.49996,box 3,4
3.25:  67.94962,92.10297,83.79996,box 3,4
3.27:  68.2478,92.13379,84.09995,box 3,4
3.28:  68.54053,92.16249,84.39996,box 3,4
3.3:  68.841,92.18983,84.79996,box 3,4
3.32:  69.14035,92.2155,85.09996,box 3,4
3.33:  69.43568,92.24082,85.09996,box 3,4
3.35:  69.73547,92.26652,85.09996,box 3,4
3.37:  70.03488,92.29219,85.09996,box 3,4
3.38:  70.33647,92.31805,85.09996,box 3,4
3.4:  70.63441,92.34359,85.09996,box 3,4
3.42:  70.92714,92.36868,85.09996,box 3,4
3.43:  71.22636,92.39381,85.19996,box 3,4
3.45:  71.5341,92.41965,85.19996,box 3,4
3.47:  71.82579,92.44363,85.29996,box 3,4
3.48:  72.12184,92.46693,85.49996,box 3,4
3.5:  72.42278,92.48956,85.69996,box 3,4
3.52:  72.72609,92.51183,85.79996,box 3,4
3.53:  73.01588,92.53312,85.79996,box 3,4
3.55:  73.31956,92.55542,85.79996,box 3,4
3.57:  73.5903,92.57482,85.89996,box 3,4
3.58:  73.88857,92.59621,85.89996,box 3,4
3.6:  74.18248,92.61727,85.89996,box 3,4
