0.02:  193.535,176.4819,88.99999,
ParticipantNo: 208
ParticipantGen: 1
Date: 10/13/17
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_24
0.02:  131.5,152.1,268.8001,
0.03:  131.5,152.1,268.8001,box 3,4
0.05:  131.5,152.1,268.8001,box 3,4
0.07:  131.5,152.1,268.8001,box 3,4
0.08:  131.5,152.1,268.8001,box 3,4
0.1:  131.5,152.1,268.8001,box 3,4
0.12:  131.5,152.1,268.8001,box 3,4
0.13:  131.5,152.1,268.8001,box 3,4
0.15:  131.5,152.1,268.8001,box 3,4
0.17:  131.5,152.1,268.8001,box 3,4
0.18:  131.5,152.1,268.8001,box 3,4
0.2:  131.5,152.1,268.8001,box 3,4
0.22:  131.5,152.1,268.8001,box 3,4
0.23:  131.5,152.1,268.8001,box 3,4
0.25:  131.5,152.1,268.8001,box 3,4
0.27:  131.5,152.1,268.8001,box 3,4
0.28:  131.5,152.1,268.8001,box 3,4
0.3:  131.5,152.1,268.8001,box 3,4
0.32:  131.5,152.1,268.8001,box 3,4
0.33:  131.5,152.1,268.8001,box 3,4
0.35:  131.5,152.1,268.8001,box 3,4
0.37:  131.5,152.1,268.8001,box 3,4
0.38:  131.5,152.1,268.8001,box 3,4
0.4:  131.5,152.1,268.8001,box 3,4
0.42:  131.5,152.1,268.8001,box 3,4
0.43:  131.5,152.1,268.8001,box 3,4
0.45:  131.5,152.1,268.8001,box 3,4
0.47:  131.5,152.1,268.8001,box 3,4
0.48:  131.5,152.1,268.8001,box 3,4
0.5:  131.5,152.1,268.8001,box 3,4
0.52:  131.5,152.1,268.8001,box 3,4
0.53:  131.5,152.1,268.8001,box 3,4
0.55:  131.5,152.1,268.8001,box 3,4
0.57:  131.5,152.1,268.8001,box 3,4
0.58:  131.5,152.1,268.8001,box 3,4
0.6:  131.5,152.1,268.8001,box 3,4
0.62:  131.5,152.1,268.8001,box 3,4
0.63:  131.5,152.1,268.8001,box 3,4
0.65:  131.5,152.1,268.8001,box 3,4
0.67:  131.5,152.1,268.8001,box 3,4
0.68:  131.5,152.1,268.8001,box 3,4
0.7:  131.5,152.1,268.8001,box 3,4
0.72:  131.5,152.1,268.8001,box 3,4
0.73:  131.5,152.1,268.8001,box 3,4
0.75:  131.5,152.1,268.8001,box 3,4
0.76:  131.5,152.1,268.8001,box 3,4
0.78:  131.5,152.1,268.8001,box 3,4
0.8:  131.5,152.1,268.8001,box 3,4
0.81:  131.5,152.1,268.8001,box 3,4
0.83:  131.5,152.1,268.8001,box 3,4
0.85:  131.5,152.1,268.8001,box 3,4
0.87:  131.5,152.1,268.8001,box 3,4
0.88:  131.5,152.1,268.8001,box 3,4
0.9:  131.5,152.1,268.8001,box 3,4
0.92:  131.5,152.1,268.8001,box 3,4
0.93:  131.5,152.1,268.8001,box 3,4
0.95:  131.5,152.1,268.8001,box 3,4
0.97:  131.5,152.1,268.8001,box 3,4
0.98:  131.5,152.1,268.8001,box 3,4
1:  131.5,152.1,268.8001,box 3,4
1.02:  131.5,152.1,268.8001,box 3,4
1.03:  131.5,152.1,268.8001,box 3,4
1.05:  131.5,152.1,268.8001,box 3,4
1.06:  131.5,152.1,268.8001,box 3,4
1.08:  131.5,152.1,268.8001,box 3,4
1.1:  131.5,152.1,268.8001,box 3,4
1.11:  131.5,152.1,268.8001,box 3,4
1.13:  131.5,152.1,268.8001,box 3,4
1.15:  131.5,152.1,268.8001,box 3,4
1.17:  131.5,152.1,268.8001,box 3,4
1.18:  131.5,152.1,268.8001,box 3,4
1.2:  131.5,152.1,268.8001,box 3,4
1.22:  131.5,152.1,268.8001,box 3,4
1.23:  131.5,152.1,268.8001,box 3,4
1.25:  131.5,152.1,268.8001,box 3,4
1.27:  131.5,152.1,268.8001,box 3,4
1.28:  131.5,152.1,268.8001,box 3,4
1.3:  131.5,152.1,268.8001,box 3,4
1.32:  131.5,152.1,268.8001,box 3,4
1.33:  131.5,152.1,268.9001,box 3,4
1.35:  131.5,152.1,269.1001,box 3,4
1.37:  131.5,152.1,269.1001,box 3,4
1.38:  131.5,152.1,269.2001,box 3,4
1.4:  131.5,152.1,269.2001,box 3,4
1.42:  131.5,152.1,269.2001,box 3,4
1.43:  131.5,152.1,269.2001,box 3,4
1.45:  131.5,152.1,269.2001,box 3,4
1.47:  131.5,152.1,269.2001,box 3,4
1.48:  131.5,152.1,269.2001,box 3,4
1.5:  131.5,152.1,269.2001,box 3,4
1.52:  131.5,152.1,269.2001,box 3,4
1.53:  131.5,152.1,269.2001,box 3,4
1.55:  131.5,152.1,269.2001,box 3,4
1.57:  131.5,152.1,269.2001,box 3,4
1.58:  131.5,152.1,269.2001,box 3,4
1.6:  131.5,152.1,269.2001,box 3,4
1.62:  131.5,152.1,269.2001,box 3,4
1.63:  131.5,152.1,269.3,box 3,4
1.65:  131.5,152.1,269.5001,box 3,4
1.67:  131.5,152.1,269.8001,box 3,4
1.68:  131.5,152.1,270.2001,box 3,4
1.7:  131.5,152.1,270.6001,box 3,4
1.72:  131.5,152.1,270.9001,box 3,4
1.73:  131.5,152.1,271.3001,box 3,4
1.75:  131.5,152.1,271.7001,box 3,4
1.77:  131.5,152.1,272.3001,box 3,4
1.78:  131.5,152.1,272.9001,box 3,4
1.8:  131.5,152.1,273.6001,box 3,4
1.82:  131.5,152.1,274.9001,box 3,4
1.83:  131.5,152.1,276.2001,box 3,4
1.85:  131.5,152.1,277.8,box 3,4
1.87:  131.5,152.1,279.7,box 3,4
1.88:  131.5,152.1,281.6,box 3,4
1.9:  131.5,152.1,283.5001,box 3,4
1.92:  131.5,152.1,285.1001,box 3,4
1.93:  131.5,152.1,286.5001,box 3,4
1.95:  131.5,152.1,287.8,box 3,4
1.97:  131.5,152.1,289.1,box 3,4
1.98:  131.5,152.1,290.8,box 3,4
