0.02:  193.4041,173.6997,96.90014,
ParticipantNo: 233b
ParticipantGen: 0
Date: 11/7/2017
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_19
2.13:  72.60001,151.2,26.6,box 3,7
2.15:  72.60001,151.2,26.6,box 3,7
2.17:  72.60001,151.2,26.6,box 3,7
2.18:  72.60681,151.2137,26.40001,box 3,7
2.2:  72.62003,151.2407,26.1,box 3,7
2.22:  72.63918,151.2812,25.3,box 3,7
2.23:  72.66444,151.3364,24.60001,box 3,7
2.25:  72.69566,151.4071,23.8,box 3,7
2.27:  72.73042,151.4883,23.2,box 3,7
2.28:  72.76988,151.5854,22.1,box 3,7
2.3:  72.81267,151.6999,20.50001,box 3,7
2.32:  72.85538,151.8261,18.70001,box 3,7
2.33:  72.90063,151.9714,17.3,box 3,7
2.35:  72.94702,152.128,16.50001,box 3,7
2.37:  72.99631,152.301,15.90001,box 3,7
2.38:  73.04854,152.4893,15.50001,box 3,7
2.4:  73.10335,152.6925,15.10001,box 3,7
2.42:  73.16089,152.9102,14.80001,box 3,7
2.43:  73.22247,153.1433,14.80001,box 3,7
2.45:  73.28842,153.3947,14.70001,box 3,7
2.47:  73.35518,153.6492,14.70001,box 3,7
2.48:  73.42737,153.9243,14.70001,box 3,7
2.5:  73.50087,154.2045,14.70001,box 3,7
2.52:  73.57573,154.4899,14.70001,box 3,7
2.53:  73.65227,154.7816,14.70001,box 3,7
2.55:  73.72902,155.0742,14.70001,box 3,7
2.57:  73.80467,155.3625,14.70001,box 3,7
2.58:  73.88094,155.6533,14.70001,box 3,7
2.6:  73.9586,155.9493,14.70001,box 3,7
2.62:  74.03714,156.2487,14.70001,box 3,7
2.63:  74.11137,156.5336,14.60001,box 3,7
2.65:  74.18515,156.8189,14.50001,box 3,7
2.67:  74.25862,157.1136,14.00001,box 3,7
2.68:  74.3289,157.4041,13.60001,box 3,7
2.7:  74.39879,157.7021,13.20001,box 3,7
2.72:  74.46376,157.9927,12.60001,box 3,7
2.73:  74.52629,158.2843,12.10001,box 3,7
2.75:  74.58687,158.5795,11.60001,box 3,7
2.77:  74.64397,158.8705,11.10001,box 3,7
2.78:  74.70158,159.1784,10.60001,box 3,7
2.8:  74.75336,159.472,10.00001,box 3,7
2.82:  74.80267,159.7667,9.500008,box 3,7
2.83:  74.85242,160.0739,9.200008,box 3,7
2.85:  74.89932,160.3634,9.200008,box 3,7
2.87:  74.94614,160.6591,9.000009,box 3,7
2.88:  74.99005,160.9427,8.800008,box 2,7
2.9:  75.03534,161.2458,8.500009,box 2,7
2.92:  75.07712,161.5393,8.100009,box 2,7
2.93:  75.11819,161.8391,7.800009,box 2,7
2.95:  75.15907,162.1376,7.800009,box 2,7
2.97:  75.19963,162.4337,7.800009,box 2,7
2.98:  75.24001,162.7284,7.800009,box 2,7
3:  75.28137,163.0304,7.800009,box 2,7
3.02:  75.32101,163.3275,7.600008,box 2,7
3.03:  75.35919,163.6256,7.300007,box 2,7
3.05:  75.39511,163.9223,6.900007,box 2,7
3.07:  75.42694,164.2154,6.200007,box 2,7
3.08:  75.45294,164.4956,5.300007,box 2,7
3.1:  75.47424,164.7928,4.100008,box 2,7
3.12:  75.49063,165.1164,2.900007,box 2,7
3.13:  75.50006,165.4159,1.800007,box 2,7
3.15:  75.50479,165.7183,0.9000074,box 2,7
3.17:  75.50793,166.0173,0.6000075,box 2,7
3.18:  75.51007,166.3233,0.4000075,box 2,7
3.2:  75.51111,166.619,0.2000075,box 2,7
3.22:  75.51163,166.9197,0.1000075,box 2,7
3.23:  75.51059,167.2184,359.8,box 2,7
3.25:  75.509,167.5211,359.7,box 2,7
3.27:  75.50745,167.818,359.7,box 2,7
3.28:  75.50589,168.1138,359.7,box 2,7
3.3:  75.50377,168.4179,359.6,box 2,7
3.32:  75.50169,168.7171,359.6,box 2,7
3.33:  75.4996,169.015,359.6,box 2,7
3.35:  75.4975,169.3167,359.6,box 2,7
3.37:  75.49591,169.6193,359.7,box 2,7
3.38:  75.49434,169.9192,359.7,box 2,7
3.4:  75.49382,170.2198,359.9,box 2,7
3.42:  75.49486,170.5173,0.2000074,box 2,7
3.43:  75.49852,170.8165,0.7000074,box 2,7
3.45:  75.50703,171.1215,1.600008,box 2,7
3.47:  75.51936,171.416,2.400007,box 2,7
3.48:  75.53563,171.7162,3.100007,box 2,7
3.5:  75.55382,172.0134,3.500007,box 2,7
3.52:  75.57532,172.3135,4.100008,box 2,7
3.53:  75.59998,172.5897,5.100008,box 2,7
3.55:  75.63576,172.8898,6.800008,box 2,7
3.57:  75.68535,173.1831,9.600009,box 2,7
3.58:  75.75055,173.4796,12.40001,box 2,7
3.6:  75.82312,173.7664,14.20001,box 2,7
