0.02:  34.76173,31.74671,170.8999,
ParticipantNo: 211a
ParticipantGen: 1
Date: 10/20/17
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_05
2.27:  33.6,210.1,192.6,box 1,10
2.28:  33.6,210.1,192.6,box 1,10
2.3:  33.6,210.1,192.9,box 1,10
2.32:  33.6,210.1,193.4,box 1,10
2.33:  33.6,210.1,194.8,box 1,10
2.35:  33.6,210.1,197,box 1,10
2.37:  33.6,210.1,200.1,box 1,10
2.38:  33.6,210.1,203.6,box 1,10
2.4:  33.6,210.1,207.7,box 1,10
2.42:  33.6,210.1,212.4,box 1,10
2.43:  33.6,210.1,216.8,box 1,10
2.45:  33.6,210.1,220.4,box 1,10
2.47:  33.6,210.1,223.2,box 1,10
2.48:  33.6,210.1,225.4,box 1,10
2.5:  33.6,210.1,227.4,box 1,10
2.52:  33.6,210.1,228.7,box 1,10
2.53:  33.6,210.1,230,box 1,10
2.55:  33.6,210.1,231.3,box 1,10
2.57:  33.6,210.1,232.4,box 1,10
2.58:  33.6,210.1,233.2,box 1,10
2.6:  33.6,210.1,233.5,box 1,10
2.62:  33.6,210.1,233.6,box 1,10
2.63:  33.6,210.1,233.7,box 1,10
2.65:  33.6,210.1,233.9,box 1,10
2.66:  33.6,210.1,234.1,box 1,10
2.68:  33.6,210.1,234.3,box 1,10
2.7:  33.6,210.1,234.6,box 1,10
2.72:  33.6,210.1,234.9,box 1,10
2.73:  33.6,210.1,235.7,box 1,10
2.75:  33.6,210.1,236.9,box 1,10
2.77:  33.6,210.1,238.6,box 1,10
2.78:  33.6,210.1,240.5,box 1,10
2.8:  33.6,210.1,242.4,box 1,10
2.82:  33.6,210.1,244.2,box 1,10
2.83:  33.6,210.1,245.9,box 1,10
2.85:  33.6,210.1,247.3,box 1,10
2.87:  33.6,210.1,248.3,box 1,10
2.88:  33.6,210.1,249.1,box 1,10
2.9:  33.6,210.1,250.6,box 1,10
2.92:  33.6,210.1,251.8,box 1,10
2.93:  33.6,210.1,252.8,box 1,10
2.95:  33.6,210.1,253.4,box 1,10
2.97:  33.6,210.1,253.8,box 1,10
2.98:  33.6,210.1,254.2,box 1,10
3:  33.6,210.1,254.3,box 1,10
3.02:  33.6,210.1,254.4,box 1,10
3.03:  33.6,210.1,254.4,box 1,10
3.05:  33.6,210.1,254.4,box 1,10
3.07:  33.6,210.1,254.4,box 1,10
3.08:  33.6,210.1,254.4,box 1,10
3.1:  33.6,210.1,254.5,box 1,10
3.12:  33.6,210.1,254.6,box 1,10
3.13:  33.6,210.1,254.7,box 1,10
3.15:  33.58477,210.0959,254.8,box 1,10
3.17:  33.55643,210.0882,254.9,box 1,10
3.18:  33.51264,210.0765,255,box 1,10
3.2:  33.45391,210.0609,255.1,box 1,10
3.22:  33.38024,210.0414,255.2,box 1,10
3.23:  33.29412,210.0188,255.3,box 1,10
3.25:  33.19151,209.9921,255.4,box 1,10
3.27:  33.07544,209.9621,255.5001,box 1,10
3.28:  32.94968,209.9295,255.5001,box 1,10
3.3:  32.79996,209.8908,255.5001,box 1,10
3.32:  32.63738,209.8491,255.6001,box 1,10
3.33:  32.46441,209.805,255.7,box 1,10
3.35:  32.28028,209.758,255.7,box 1,10
3.37:  32.07761,209.7064,255.7,box 1,10
