0.02:  193.5,175.4676,95.30025,
ParticipantNo: 212a
ParticipantGen: 0
Date: 10/20/17
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_24
0.02:  131.5,152.1,266.1,
0.03:  131.5,152.1,266.1,box 3,4
0.05:  131.5,152.1,266.1,box 3,4
0.07:  131.5,152.1,266.1,box 3,4
0.08:  131.5,152.1,266.1,box 3,4
0.1:  131.5,152.1,266.1,box 3,4
0.11:  131.5,152.1,266.1,box 3,4
0.13:  131.5,152.1,266.1,box 3,4
0.15:  131.5,152.1,266.1,box 3,4
0.16:  131.5,152.1,266.1,box 3,4
0.18:  131.5,152.1,266.1,box 3,4
0.2:  131.5,152.1,266.1,box 3,4
0.22:  131.5,152.1,266.1,box 3,4
0.23:  131.5,152.1,266.1,box 3,4
0.25:  131.5,152.1,266.1,box 3,4
0.27:  131.5,152.1,266.1,box 3,4
0.28:  131.5,152.1,266.1,box 3,4
0.3:  131.5,152.1,266.1,box 3,4
0.32:  131.5,152.1,266.1,box 3,4
0.33:  131.5,152.1,266.1,box 3,4
0.35:  131.5,152.1,266.1,box 3,4
0.37:  131.5,152.1,266.1,box 3,4
0.38:  131.5,152.1,266.1,box 3,4
0.4:  131.5,152.1,266.1,box 3,4
0.42:  131.5,152.1,266.1,box 3,4
0.43:  131.5,152.1,266.1,box 3,4
0.45:  131.5,152.1,266.1,box 3,4
0.47:  131.5,152.1,266.1,box 3,4
0.48:  131.5,152.1,266.1,box 3,4
0.5:  131.5,152.1,266.1,box 3,4
0.52:  131.5,152.1,266.1,box 3,4
0.53:  131.5,152.1,266.1,box 3,4
0.55:  131.5,152.1,266.1,box 3,4
0.57:  131.5,152.1,266.1,box 3,4
0.58:  131.5,152.1,266.1,box 3,4
0.6:  131.5,152.1,266.1,box 3,4
0.62:  131.5,152.1,266.1,box 3,4
0.63:  131.5,152.1,266.1,box 3,4
0.65:  131.5,152.1,266.1,box 3,4
0.67:  131.5,152.1,266.4,box 3,4
0.68:  131.5,152.1,267,box 3,4
0.7:  131.5,152.1,268.1,box 3,4
0.72:  131.5,152.1,269.4,box 3,4
0.73:  131.5,152.1,271.2,box 3,4
0.75:  131.5,152.1,273.6,box 3,4
0.77:  131.5,152.1,277.2,box 3,4
0.78:  131.5,152.1,282.2,box 3,4
0.8:  131.5,152.1,288.2,box 3,4
0.82:  131.5,152.1,295,box 3,4
0.83:  131.5,152.1,301.4,box 3,4
0.85:  131.5,152.1,310.5,box 3,4
0.87:  131.5,152.1,316.4,box 3,4
0.88:  131.5,152.1,321.5,box 3,4
0.9:  131.5,152.1,326.1,box 3,4
0.92:  131.5,152.1,331,box 3,4
0.93:  131.5,152.1,335.3,box 3,4
0.95:  131.5,152.1,339,box 3,4
0.97:  131.5,152.1,342.8,box 3,4
0.98:  131.5,152.1,345.9,box 3,4
1:  131.5,152.1,348.6,box 3,4
1.02:  131.5,152.1,350.6,box 3,4
1.03:  131.5,152.1,351.5,box 3,4
1.05:  131.5,152.1,351.8,box 3,4
1.06:  131.5,152.1,351.9,box 3,4
1.08:  131.4977,152.1162,352.1,box 3,4
1.1:  131.4939,152.1452,352.4,box 3,4
1.11:  131.4884,152.1879,352.7,box 3,4
1.13:  131.4811,152.2475,353,box 3,4
1.15:  131.4707,152.3222,352.1,box 3,4
1.16:  131.4568,152.4115,351.1,box 3,4
1.18:  131.4399,152.5178,351,box 3,4
1.2:  131.4215,152.6341,351,box 3,4
1.21:  131.4002,152.7684,351,box 3,4
1.23:  131.3764,152.9189,351,box 3,4
1.25:  131.3507,153.0813,351,box 3,4
1.26:  131.3228,153.257,351,box 3,4
1.28:  131.2926,153.448,351,box 3,4
1.3:  131.2604,153.6511,351,box 3,4
1.31:  131.2248,153.876,351,box 3,4
1.33:  131.1879,154.1088,351,box 3,4
1.35:  131.1476,154.3633,351,box 3,4
1.36:  131.1053,154.6301,351,box 3,4
1.38:  131.0612,154.9087,351,box 3,4
1.4:  131.0149,155.2014,351,box 3,4
1.41:  130.9676,155.4997,351,box 3,4
1.43:  130.9203,155.7987,351,box 3,4
1.45:  130.8736,156.0931,351,box 3,4
1.46:  130.8264,156.3912,351,box 3,4
1.48:  130.7794,156.6883,351,box 3,4
1.5:  130.7325,156.9843,351,box 3,4
1.51:  130.6856,157.2802,351,box 3,4
1.53:  130.6394,157.572,351,box 3,4
1.55:  130.595,157.8522,351,box 3,4
1.56:  130.5476,158.1515,351,box 3,4
1.58:  130.5001,158.4516,351,box 3,4
1.6:  130.4535,158.7457,351,box 3,4
1.61:  130.4059,159.046,351,box 3,4
1.63:  130.3567,159.357,351,box 3,4
1.65:  130.3083,159.659,350.9,box 3,4
1.66:  130.2616,159.9539,351,box 3,4
1.68:  130.2273,160.2643,353.7,box 3,4
1.7:  130.2213,160.5511,358.8,box 3,4
1.71:  130.2507,160.8508,5.599964,box 2,4
