0.02:  30.72538,31.62537,188.8995,
ParticipantNo: 228
ParticipantGen: 0
Date: 11/3/17
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_24
0.02:  153.75,131.9,183.6001,
0.03:  153.75,131.9,183.6001,box 7,6
0.05:  153.75,131.9,183.6001,box 7,6
0.07:  153.75,131.9,183.6001,box 7,6
0.08:  153.75,131.9,183.6001,box 7,6
0.1:  153.75,131.9,183.6001,box 7,6
0.12:  153.75,131.9,183.6001,box 7,6
0.13:  153.75,131.9,183.6001,box 7,6
0.15:  153.75,131.9,183.6001,box 7,6
0.17:  153.75,131.9,183.6001,box 7,6
0.18:  153.75,131.9,183.6001,box 7,6
0.2:  153.75,131.9,183.6001,box 7,6
0.22:  153.75,131.9,183.6001,box 7,6
0.23:  153.75,131.9,183.6001,box 7,6
0.25:  153.75,131.9,183.6001,box 7,6
0.27:  153.75,131.9,183.6001,box 7,6
0.28:  153.75,131.9,183.6001,box 7,6
0.3:  153.75,131.9,183.6001,box 7,6
0.32:  153.75,131.9,183.6001,box 7,6
0.33:  153.75,131.9,183.6001,box 7,6
0.35:  153.75,131.9,183.6001,box 7,6
0.37:  153.75,131.9,183.6001,box 7,6
0.38:  153.75,131.9,183.6001,box 7,6
0.4:  153.75,131.9,183.6001,box 7,6
0.42:  153.75,131.9,183.6001,box 7,6
0.43:  153.75,131.9,183.6001,box 7,6
0.45:  153.75,131.9,183.6001,box 7,6
0.47:  153.75,131.9,183.6001,box 7,6
0.48:  153.75,131.9,183.6001,box 7,6
0.5:  153.75,131.9,183.6001,box 7,6
0.52:  153.75,131.9,183.6001,box 7,6
0.53:  153.75,131.9,183.6001,box 7,6
0.55:  153.75,131.9,183.6001,box 7,6
0.57:  153.75,131.9,183.6001,box 7,6
0.58:  153.75,131.9,183.6001,box 7,6
0.6:  153.75,131.9,183.6001,box 7,6
0.62:  153.75,131.9,183.6001,box 7,6
0.63:  153.75,131.9,183.6001,box 7,6
0.65:  153.75,131.9,183.6001,box 7,6
0.67:  153.75,131.9,183.6001,box 7,6
0.68:  153.75,131.9,183.6001,box 7,6
0.7:  153.75,131.9,183.6001,box 7,6
0.72:  153.75,131.9,183.6001,box 7,6
0.73:  153.75,131.9,183.6001,box 7,6
0.75:  153.75,131.9,183.6001,box 7,6
0.77:  153.75,131.9,183.6001,box 7,6
0.78:  153.75,131.9,183.6001,box 7,6
0.8:  153.75,131.9,183.6001,box 7,6
0.82:  153.75,131.9,183.6001,box 7,6
0.83:  153.75,131.9,183.6001,box 7,6
0.85:  153.75,131.9,183.6001,box 7,6
0.87:  153.75,131.9,183.6001,box 7,6
0.88:  153.75,131.9,183.6001,box 7,6
0.9:  153.75,131.9,183.6001,box 7,6
0.92:  153.75,131.9,183.6001,box 7,6
0.93:  153.75,131.9,183.6001,box 7,6
0.95:  153.75,131.9,183.6001,box 7,6
0.97:  153.75,131.9,183.6001,box 7,6
0.98:  153.75,131.9,183.6001,box 7,6
1:  153.75,131.9,183.6001,box 7,6
1.02:  153.75,131.9,183.6001,box 7,6
1.03:  153.75,131.9,183.6001,box 7,6
1.05:  153.75,131.9,183.6001,box 7,6
1.07:  153.75,131.9,183.6001,box 7,6
1.08:  153.75,131.9,183.6001,box 7,6
1.1:  153.75,131.9,183.6001,box 7,6
1.12:  153.75,131.9,183.6001,box 7,6
1.13:  153.75,131.9,183.6001,box 7,6
1.15:  153.75,131.9,183.6001,box 7,6
1.17:  153.75,131.9,183.6001,box 7,6
1.18:  153.75,131.9,183.6001,box 7,6
1.2:  153.75,131.9,183.6001,box 7,6
1.22:  153.75,131.9,183.6001,box 7,6
1.23:  153.75,131.9,183.6001,box 7,6
1.25:  153.75,131.9,183.6001,box 7,6
1.27:  153.75,131.9,183.6001,box 7,6
1.28:  153.75,131.9,183.6001,box 7,6
1.3:  153.75,131.9,183.6001,box 7,6
1.32:  153.75,131.9,183.6001,box 7,6
1.33:  153.75,131.9,183.6001,box 7,6
1.35:  153.75,131.9,183.6001,box 7,6
1.37:  153.75,131.9,183.6001,box 7,6
1.38:  153.75,131.9,183.6001,box 7,6
1.4:  153.75,131.9,183.6001,box 7,6
1.42:  153.75,131.9,183.6001,box 7,6
1.43:  153.75,131.9,183.6001,box 7,6
1.45:  153.75,131.9,183.6001,box 7,6
1.47:  153.75,131.9,183.6001,box 7,6
1.48:  153.75,131.9,183.6001,box 7,6
1.5:  153.75,131.9,183.6001,box 7,6
1.52:  153.75,131.9,183.6001,box 7,6
1.53:  153.75,131.9,183.6001,box 7,6
1.55:  153.75,131.9,183.6001,box 7,6
1.57:  153.75,131.9,183.6001,box 7,6
1.58:  153.75,131.9,183.6001,box 7,6
1.6:  153.75,131.9,183.6001,box 7,6
1.62:  153.75,131.9,183.6001,box 7,6
