0.02:  193.6706,174.483,94.00005,
ParticipantNo: 204
ParticipantGen: 0
Date: 10/11/17
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_10
0.02:  93.4,33.1,267.4,
0.07:  93.4,33.1,267.4,box 9,6
0.07:  93.4,33.1,267.4,box 9,6
0.08:  93.4,33.1,267.4,box 9,6
0.1:  93.4,33.1,267.4,box 9,6
0.12:  93.4,33.1,267.4,box 9,6
0.13:  93.4,33.1,267.4,box 9,6
0.15:  93.4,33.1,267.4,box 9,6
0.17:  93.4,33.1,267.4,box 9,6
0.18:  93.4,33.1,267.4,box 9,6
0.2:  93.4,33.1,267.4,box 9,6
0.22:  93.4,33.1,267.4,box 9,6
0.23:  93.4,33.1,267.4,box 9,6
0.25:  93.4,33.1,267.4,box 9,6
0.27:  93.4,33.1,267.4,box 9,6
0.28:  93.4,33.1,267.4,box 9,6
0.3:  93.4,33.1,267.4,box 9,6
0.32:  93.4,33.1,267.4,box 9,6
0.33:  93.4,33.1,267.4,box 9,6
0.35:  93.4,33.1,267.4,box 9,6
0.37:  93.4,33.1,267.4,box 9,6
0.38:  93.4,33.1,267.4,box 9,6
0.4:  93.4,33.1,267.4,box 9,6
0.42:  93.4,33.1,267.4,box 9,6
0.43:  93.4,33.1,267.4,box 9,6
0.45:  93.4,33.1,267.4,box 9,6
0.47:  93.4,33.1,267.4,box 9,6
0.48:  93.4,33.1,267.4,box 9,6
0.5:  93.4,33.1,267.4,box 9,6
0.52:  93.4,33.1,267.4,box 9,6
0.53:  93.4,33.1,267.4,box 9,6
0.55:  93.4,33.1,267.4,box 9,6
0.57:  93.4,33.1,267.4,box 9,6
0.58:  93.4,33.1,267.4,box 9,6
0.6:  93.4,33.1,267.4,box 9,6
0.62:  93.4,33.1,267.4,box 9,6
0.63:  93.4,33.1,267.4,box 9,6
0.65:  93.4,33.1,267.4,box 9,6
0.67:  93.4,33.1,267.4,box 9,6
