0.02:  34.91337,31.70871,188.6998,
ParticipantNo: 204a
ParticipantGen: 0
Date: 10/11/17
ExperimentType: 1
AltExperiment: True
AutoExperiment: False
!!1_dsp2_19
0.02:  153.75,69.3,0.4999768,
0.03:  153.75,69.3,0.4999768,box 7,3
0.05:  153.75,69.3,0.4999768,box 7,3
0.07:  153.75,69.3,0.4999768,box 7,3
0.08:  153.75,69.3,0.4999768,box 7,3
0.1:  153.75,69.3,0.4999768,box 7,3
0.12:  153.75,69.3,0.4999768,box 7,3
0.13:  153.75,69.3,0.4999768,box 7,3
0.15:  153.75,69.3,0.4999768,box 7,3
0.17:  153.75,69.3,0.4999768,box 7,3
0.18:  153.75,69.3,0.4999768,box 7,3
0.2:  153.75,69.3,0.4999768,box 7,3
0.22:  153.75,69.3,0.4999768,box 7,3
0.23:  153.75,69.3,0.4999768,box 7,3
0.25:  153.75,69.3,0.4999768,box 7,3
0.27:  153.75,69.3,0.4999768,box 7,3
0.28:  153.75,69.3,0.4999768,box 7,3
0.3:  153.75,69.3,0.4999768,box 7,3
0.32:  153.75,69.3,0.4999768,box 7,3
0.33:  153.75,69.3,0.4999768,box 7,3
0.35:  153.75,69.3,0.4999768,box 7,3
0.37:  153.75,69.3,0.4999768,box 7,3
0.38:  153.75,69.3,0.4999768,box 7,3
0.4:  153.75,69.3,0.4999768,box 7,3
0.42:  153.75,69.3,0.4999768,box 7,3
0.43:  153.75,69.3,0.5999768,box 7,3
0.45:  153.75,69.3,0.6999769,box 7,3
0.47:  153.75,69.3,0.7999768,box 7,3
0.48:  153.75,69.3,0.7999768,box 7,3
0.5:  153.75,69.3,0.7999768,box 7,3
0.52:  153.75,69.3,0.7999768,box 7,3
0.53:  153.75,69.3,0.7999768,box 7,3
0.55:  153.75,69.3,0.7999768,box 7,3
0.57:  153.75,69.3,0.7999768,box 7,3
0.58:  153.75,69.3,0.7999768,box 7,3
0.6:  153.75,69.3,0.8999767,box 7,3
0.62:  153.75,69.3,0.8999767,box 7,3
0.63:  153.75,69.3,0.8999767,box 7,3
0.65:  153.75,69.3,0.9999768,box 7,3
0.67:  153.75,69.3,1.099977,box 7,3
0.68:  153.75,69.3,1.199977,box 7,3
0.7:  153.75,69.3,1.199977,box 7,3
0.72:  153.75,69.3,1.199977,box 7,3
0.73:  153.75,69.3,1.199977,box 7,3
0.75:  153.75,69.3,1.199977,box 7,3
0.77:  153.75,69.3,1.399977,box 7,3
0.78:  153.75,69.3,1.399977,box 7,3
0.8:  153.75,69.3,1.499977,box 7,3
0.82:  153.75,69.3,1.499977,box 7,3
0.83:  153.75,69.3,1.499977,box 7,3
0.85:  153.75,69.3,1.499977,box 7,3
0.87:  153.75,69.3,1.499977,box 7,3
0.88:  153.75,69.3,1.499977,box 7,3
0.9:  153.75,69.3,1.499977,box 7,3
0.92:  153.75,69.3,1.499977,box 7,3
0.93:  153.75,69.3,1.499977,box 7,3
0.95:  153.75,69.3,1.499977,box 7,3
0.97:  153.75,69.3,1.499977,box 7,3
0.98:  153.75,69.3,1.499977,box 7,3
1:  153.75,69.3,1.499977,box 7,3
1.02:  153.75,69.3,1.499977,box 7,3
1.03:  153.75,69.3,1.499977,box 7,3
1.05:  153.75,69.3,1.499977,box 7,3
1.07:  153.75,69.3,1.499977,box 7,3
1.08:  153.75,69.3,1.499977,box 7,3
1.1:  153.75,69.3,1.499977,box 7,3
1.12:  153.75,69.3,1.499977,box 7,3
1.13:  153.75,69.3,1.499977,box 7,3
1.15:  153.75,69.3,1.499977,box 7,3
1.17:  153.75,69.3,1.099977,box 7,3
1.18:  153.75,69.3,359.7,box 7,3
1.2:  153.75,69.3,357.6,box 7,3
1.22:  153.75,69.3,354.3,box 7,3
1.23:  153.75,69.3,348,box 7,3
1.25:  153.75,69.3,342.9,box 7,3
1.27:  153.75,69.3,337.5,box 7,3
1.28:  153.75,69.3,332.2,box 7,3
1.3:  153.75,69.3,326.6,box 7,3
1.32:  153.75,69.3,321.9,box 7,3
1.33:  153.75,69.3,318,box 7,3
1.35:  153.75,69.3,314.2,box 7,3
1.37:  153.75,69.3,311.6,box 7,3
1.38:  153.75,69.3,309.4,box 7,3
1.4:  153.75,69.3,307.6,box 7,3
1.42:  153.75,69.3,306.4,box 7,3
1.43:  153.75,69.3,305.4,box 7,3
1.45:  153.75,69.3,304.7,box 7,3
1.47:  153.75,69.3,304.4,box 7,3
1.48:  153.75,69.3,304,box 7,3
1.5:  153.75,69.3,303.4,box 7,3
1.52:  153.75,69.3,302.7,box 7,3
1.53:  153.75,69.3,302.1,box 7,3
1.55:  153.75,69.3,301.5999,box 7,3
1.57:  153.75,69.3,301.2,box 7,3
1.58:  153.75,69.3,300.5,box 7,3
1.6:  153.75,69.3,299.3,box 7,3
1.62:  153.75,69.3,297.9,box 7,3
1.63:  153.75,69.3,297.7,box 7,3
1.65:  153.75,69.3,297.7,box 7,3
1.67:  153.75,69.3,297.7,box 7,3
1.68:  153.75,69.3,297.7,box 7,3
1.7:  153.75,69.3,297.7,box 7,3
1.72:  153.75,69.3,297.7,box 7,3
1.73:  153.75,69.3,297.7,box 7,3
1.75:  153.75,69.3,297.7,box 7,3
1.77:  153.75,69.3,297.7,box 7,3
1.78:  153.75,69.3,297.7,box 7,3
1.8:  153.75,69.3,297.7,box 7,3
1.82:  153.75,69.3,297.7,box 7,3
1.83:  153.75,69.3,297.7,box 7,3
1.85:  153.75,69.3,297.7,box 7,3
1.87:  153.75,69.3,297.7,box 7,3
1.88:  153.75,69.3,297.7,box 7,3
1.9:  153.75,69.3,297.7,box 7,3
1.92:  153.75,69.3,297.7,box 7,3
1.93:  153.75,69.3,297.7,box 7,3
1.95:  153.75,69.3,297.7,box 7,3
1.97:  153.75,69.3,297.5,box 7,3
1.98:  153.75,69.3,297.3,box 7,3
2:  153.75,69.3,297,box 7,3
2.02:  153.75,69.3,296.5999,box 7,3
2.03:  153.75,69.3,296.2,box 7,3
2.05:  153.75,69.3,296.0999,box 7,3
2.07:  153.75,69.3,295.9,box 7,3
2.08:  153.75,69.3,295.5999,box 7,3
2.1:  153.75,69.3,295.4,box 7,3
2.12:  153.75,69.3,295.2,box 7,3
2.13:  153.75,69.3,295.2,box 7,3
2.15:  153.75,69.3,295.2,box 7,3
2.17:  153.75,69.3,294.8,box 7,3
2.18:  153.75,69.3,294.3,box 7,3
2.2:  153.75,69.3,293.8,box 7,3
2.22:  153.75,69.3,293.4,box 7,3
2.23:  153.75,69.3,292.9999,box 7,3
2.25:  153.75,69.3,292.9999,box 7,3
2.27:  153.75,69.3,292.9999,box 7,3
2.28:  153.75,69.3,292.9999,box 7,3
2.3:  153.75,69.3,292.9999,box 7,3
2.32:  153.75,69.3,292.9999,box 7,3
2.33:  153.75,69.3,292.9999,box 7,3
2.35:  153.75,69.3,292.9999,box 7,3
2.37:  153.75,69.3,292.9999,box 7,3
2.38:  153.75,69.3,292.9999,box 7,3
2.4:  153.75,69.3,292.9999,box 7,3
2.42:  153.75,69.3,292.9999,box 7,3
2.43:  153.75,69.3,292.9999,box 7,3
2.45:  153.75,69.3,292.9999,box 7,3
2.47:  153.75,69.3,292.9999,box 7,3
2.48:  153.75,69.3,292.9999,box 7,3
2.5:  153.75,69.3,292.9999,box 7,3
2.52:  153.75,69.3,292.9999,box 7,3
2.53:  153.75,69.3,292.9999,box 7,3
2.55:  153.75,69.3,292.9999,box 7,3
2.56:  153.75,69.3,292.9999,box 7,3
2.58:  153.75,69.3,292.9999,box 7,3
2.6:  153.75,69.3,292.9999,box 7,3
2.62:  153.75,69.3,292.9999,box 7,3
2.63:  153.75,69.3,292.9999,box 7,3
2.65:  153.75,69.3,292.9999,box 7,3
2.67:  153.75,69.3,292.8,box 7,3
2.68:  153.75,69.3,292.4999,box 7,3
2.7:  153.75,69.3,291.7999,box 7,3
2.72:  153.75,69.3,290.4,box 7,3
2.73:  153.75,69.3,288.9,box 7,3
2.75:  153.75,69.3,287.3,box 7,3
2.77:  153.75,69.3,285.9999,box 7,3
2.78:  153.75,69.3,284.9,box 7,3
2.8:  153.75,69.3,284.3,box 7,3
2.82:  153.75,69.3,284.2,box 7,3
2.83:  153.75,69.3,284.2,box 7,3
2.85:  153.75,69.3,284.2,box 7,3
2.87:  153.75,69.3,284.2,box 7,3
2.88:  153.75,69.3,284.2,box 7,3
2.9:  153.75,69.3,284.2,box 7,3
2.92:  153.75,69.3,284.2,box 7,3
2.93:  153.75,69.3,284.2,box 7,3
2.95:  153.75,69.3,284.2,box 7,3
2.97:  153.75,69.3,284.2,box 7,3
2.98:  153.75,69.3,284.0999,box 7,3
3:  153.75,69.3,284.0999,box 7,3
3.02:  153.75,69.3,283.9999,box 7,3
3.03:  153.75,69.3,283.9999,box 7,3
3.05:  153.75,69.3,283.9999,box 7,3
3.07:  153.75,69.3,283.9999,box 7,3
3.08:  153.75,69.3,283.9999,box 7,3
3.1:  153.75,69.3,283.9999,box 7,3
3.12:  153.75,69.3,283.9999,box 7,3
3.13:  153.75,69.3,283.9999,box 7,3
3.15:  153.75,69.3,283.9999,box 7,3
3.17:  153.75,69.3,283.9999,box 7,3
3.18:  153.75,69.3,283.9999,box 7,3
3.2:  153.75,69.3,283.9999,box 7,3
3.22:  153.75,69.3,283.9999,box 7,3
3.23:  153.75,69.3,283.9999,box 7,3
3.25:  153.75,69.3,283.9999,box 7,3
3.27:  153.75,69.3,283.9999,box 7,3
3.28:  153.75,69.3,283.9999,box 7,3
3.3:  153.75,69.3,283.9999,box 7,3
3.32:  153.75,69.3,283.9999,box 7,3
3.33:  153.75,69.3,283.9999,box 7,3
3.35:  153.75,69.3,283.9999,box 7,3
3.37:  153.75,69.3,283.9999,box 7,3
3.38:  153.75,69.3,283.9999,box 7,3
3.4:  153.75,69.3,283.9999,box 7,3
3.42:  153.75,69.3,283.8,box 7,3
3.43:  153.75,69.3,283.8,box 7,3
3.45:  153.75,69.3,283.4,box 7,3
3.47:  153.75,69.3,283.4,box 7,3
3.48:  153.75,69.3,283.2,box 7,3
3.5:  153.75,69.3,282.9999,box 7,3
3.52:  153.75,69.3,282.7999,box 7,3
3.53:  153.75,69.3,282.7999,box 7,3
3.55:  153.75,69.3,282.4999,box 7,3
3.57:  153.75,69.3,282.4999,box 7,3
3.58:  153.75,69.3,282.2999,box 7,3
3.6:  153.75,69.3,282.2999,box 7,3
3.62:  153.75,69.3,282.2999,box 7,3
3.63:  153.75,69.3,282.2999,box 7,3
3.65:  153.75,69.3,282.2999,box 7,3
3.67:  153.75,69.3,282.0999,box 7,3
3.68:  153.75,69.3,281.8999,box 7,3
3.7:  153.75,69.3,281.8999,box 7,3
3.72:  153.75,69.3,281.7999,box 7,3
3.73:  153.75,69.3,281.7999,box 7,3
3.75:  153.75,69.3,281.7,box 7,3
3.77:  153.75,69.3,281.7,box 7,3
3.78:  153.75,69.3,281.7,box 7,3
3.8:  153.75,69.3,281.7,box 7,3
3.82:  153.75,69.3,281.5999,box 7,3
3.83:  153.75,69.3,281.2999,box 7,3
3.85:  153.75,69.3,281.0999,box 7,3
3.87:  153.75,69.3,280.7999,box 7,3
3.88:  153.75,69.3,280.6999,box 7,3
3.9:  153.75,69.3,280.4999,box 7,3
3.92:  153.75,69.3,280.3999,box 7,3
3.93:  153.75,69.3,280.2999,box 7,3
3.95:  153.75,69.3,280.0999,box 7,3
3.97:  153.75,69.3,279.9999,box 7,3
3.98:  153.75,69.3,279.7999,box 7,3
4:  153.75,69.3,279.5999,box 7,3
4.02:  153.75,69.3,279.3999,box 7,3
4.03:  153.75,69.3,278.9999,box 7,3
4.05:  153.75,69.3,278.9999,box 7,3
4.07:  153.75,69.3,278.9999,box 7,3
4.08:  153.7341,69.30252,278.9999,box 7,3
4.1:  153.7043,69.30713,278.7999,box 7,3
4.12:  153.6605,69.31392,278.7999,box 7,3
4.13:  153.6009,69.32314,278.7999,box 7,3
4.15:  153.5265,69.33466,278.7999,box 7,3
4.17:  153.4386,69.34827,278.7999,box 7,3
4.18:  153.335,69.36431,278.7999,box 7,3
4.2:  153.2173,69.38251,278.7999,box 7,3
4.22:  153.0824,69.40341,278.7999,box 7,3
4.23:  152.9349,69.42625,278.7999,box 7,3
4.25:  152.7711,69.45161,278.7999,box 7,3
