0.02:  193.6593,172.9634,93.30026,
ParticipantNo: 217a
ParticipantGen: 1
Date: 10/25/17
ExperimentType: 0
AltExperiment: False
AutoExperiment: False
!!1_dsp1_16
0.02:  13.2,153.35,86.50002,
0.03:  13.2,153.35,86.50002,box 3,10
0.05:  13.2,153.35,86.50002,box 3,10
0.07:  13.2,153.35,86.50002,box 3,10
0.08:  13.2,153.35,86.50002,box 3,10
0.1:  13.2,153.35,86.50002,box 3,10
0.12:  13.2,153.35,86.50002,box 3,10
0.13:  13.2,153.35,86.50002,box 3,10
0.15:  13.2,153.35,86.50002,box 3,10
0.17:  13.2,153.35,86.50002,box 3,10
0.18:  13.2,153.35,86.50002,box 3,10
0.2:  13.2,153.35,86.50002,box 3,10
0.22:  13.2,153.35,86.50002,box 3,10
0.23:  13.2,153.35,86.50002,box 3,10
0.25:  13.2,153.35,86.50002,box 3,10
0.27:  13.2,153.35,86.50002,box 3,10
0.28:  13.2,153.35,86.50002,box 3,10
0.3:  13.2,153.35,86.50002,box 3,10
0.32:  13.2,153.35,86.50002,box 3,10
0.33:  13.2,153.35,86.50002,box 3,10
0.35:  13.2,153.35,86.50002,box 3,10
0.37:  13.2,153.35,86.50002,box 3,10
0.38:  13.2,153.35,86.50002,box 3,10
0.4:  13.2,153.35,86.50002,box 3,10
0.42:  13.2,153.35,86.50002,box 3,10
0.43:  13.2,153.35,86.50002,box 3,10
0.45:  13.2,153.35,86.50002,box 3,10
0.47:  13.2,153.35,86.50002,box 3,10
0.48:  13.2,153.35,86.50002,box 3,10
0.5:  13.2,153.35,86.50002,box 3,10
0.52:  13.2,153.35,86.50002,box 3,10
0.53:  13.2,153.35,86.50002,box 3,10
0.55:  13.2,153.35,86.50002,box 3,10
0.57:  13.2,153.35,86.50002,box 3,10
0.58:  13.2,153.35,86.50002,box 3,10
0.6:  13.2,153.35,87.10001,box 3,10
0.62:  13.2,153.35,88.10002,box 3,10
0.63:  13.2,153.35,89.40002,box 3,10
0.65:  13.2,153.35,90.60002,box 3,10
0.67:  13.2,153.35,91.80003,box 3,10
0.68:  13.2,153.35,93.20003,box 3,10
0.7:  13.2,153.35,94.20002,box 3,10
0.72:  13.2,153.35,95.70003,box 3,10
0.74:  13.2,153.35,97.50003,box 3,10
0.75:  13.2,153.35,99.30003,box 3,10
0.77:  13.2,153.35,101.3,box 3,10
0.79:  13.2,153.35,103.3,box 3,10
0.8:  13.2,153.35,105.6,box 3,10
0.82:  13.2,153.35,108.1,box 3,10
0.84:  13.2,153.35,112.5,box 3,10
0.85:  13.2,153.35,115.6,box 3,10
0.87:  13.2,153.35,118.5,box 3,10
0.88:  13.2,153.35,121.4,box 3,10
0.9:  13.2,153.35,124.1,box 3,10
0.92:  13.2,153.35,126.7,box 3,10
0.93:  13.2,153.35,129.1,box 3,10
0.95:  13.2,153.35,131.6,box 3,10
0.97:  13.2,153.35,134.3,box 3,10
0.98:  13.2,153.35,136.9,box 3,10
1:  13.2,153.35,139.5,box 3,10
1.02:  13.2,153.35,141.8,box 3,10
1.03:  13.2,153.35,143.8,box 3,10
1.05:  13.2,153.35,145.6001,box 3,10
1.07:  13.2,153.35,146.9001,box 3,10
1.08:  13.2,153.35,147.9,box 3,10
1.1:  13.2,153.35,148.6,box 3,10
1.12:  13.2,153.35,148.9001,box 3,10
1.13:  13.2,153.35,148.9001,box 3,10
1.15:  13.2,153.35,148.9001,box 3,10
1.17:  13.2,153.35,148.9001,box 3,10
1.18:  13.2,153.35,148.9001,box 3,10
1.2:  13.2,153.35,148.6,box 3,10
1.22:  13.2,153.35,148.3,box 3,10
1.23:  13.2,153.35,148.1001,box 3,10
1.25:  13.2,153.35,147.8,box 3,10
1.27:  13.2,153.35,147.3,box 3,10
1.28:  13.2,153.35,146.9001,box 3,10
1.3:  13.2,153.35,146.5,box 3,10
1.32:  13.2,153.35,146.3,box 3,10
1.33:  13.2,153.35,146.3,box 3,10
1.35:  13.2,153.35,146.2,box 3,10
1.37:  13.2,153.35,146.2,box 3,10
1.38:  13.2,153.35,146.2,box 3,10
1.4:  13.2,153.35,146.2,box 3,10
1.42:  13.2,153.35,146.2,box 3,10
1.43:  13.2,153.35,146.2,box 3,10
